file,GPL_ID
GSE19728,GPL570
GSE4290,GPL570
GSE43289,GPL570
GSE43378,GPL570
GSE43911,GPL13648
GSE44971,GPL570
GSE45921,GPL570
GSE50161,GPL570
GSE5675,GPL570
GSE66354,GPL570
GSE68015,GPL570
GSE73066,GPL570
GSE74462,GPL6244
GSE116520,GPL10558
GSE90604_mirna,GPL21572
GSE90604_rna,GPL17692
