probe_id,external_gene_name
ILMN_1728803,NSG2
ILMN_1701558,MAP1A
ILMN_1810533,SLC6A15
ILMN_1810051,EPB41L4B
ILMN_1779882,SOWAHA
ILMN_2414878,STXBP1
ILMN_1681467,RAB11FIP4
ILMN_1751020,PACSIN1
ILMN_1698846,SLC8A2
ILMN_1660718,GABBR2
ILMN_1780255,KLK6
ILMN_1745570,KLK7
ILMN_2374728,ARPP21
ILMN_1671402,ARPP21
ILMN_1671149,MIR493HG
ILMN_2218758,NECAB1
ILMN_2065022,ARHGAP44
ILMN_1699852,CES4A
ILMN_1801476,CDS1
ILMN_1800270,GABRG2
ILMN_2413964,GABRG2
ILMN_2212999,KIF5C
ILMN_2174341,GPR83
ILMN_1681087,SLC7A10
ILMN_1803773,MAG
ILMN_1814790,SHANK2
ILMN_1814221,NPTX1
ILMN_1751569,ERICH3
ILMN_1768947,MOBP
ILMN_2414962,MOBP
ILMN_2298464,MOBP
ILMN_1750271,MOBP
ILMN_1732782,SCN2A
ILMN_1711988,KCNK12
ILMN_1676504,RPRML
ILMN_2315208,CAMK2B
ILMN_1663397,CAMK2B
ILMN_2376194,CAMK2B
ILMN_1758825,ABLIM2
ILMN_1667381,CAMKV
ILMN_1697561,FBXL16
ILMN_1813295,LMO3
ILMN_1671107,NKAIN2
ILMN_1681234,CELF3
ILMN_1718896,CNTN2
ILMN_2269136,AGAP3
ILMN_1793517,RASAL1
ILMN_1759563,NRIP3
ILMN_1721027,KCNK4
ILMN_1779448,EFHD1
ILMN_1712943,CCK
ILMN_1704063,KCNH3
ILMN_1694514,ZDHHC11
ILMN_1805807,SLC30A3
ILMN_1751607,FOSB
ILMN_1705686,NRGN
ILMN_1685496,RGS7
ILMN_1653836,KIAA1549L
ILMN_1680928,DNM3
ILMN_1760088,CCKBR
ILMN_1769195,ERC2
ILMN_1682459,TUBB4A
ILMN_1712913,UNC5A
ILMN_1676215,DLG2
ILMN_1733998,DHRS9
ILMN_1742881,SYT1
ILMN_1785380,SLC1A2
ILMN_2320330,MAL
ILMN_2327860,MAL
ILMN_2227790,GRIN2C
ILMN_1676283,RIMBP2
ILMN_1734695,MAP4
ILMN_1778924,PDE1A
ILMN_1741698,OPCML
ILMN_1758392,ANKS1B
ILMN_1666445,CAMK2A
ILMN_1803855,FAIM2
ILMN_1681356,PDE2A
ILMN_2292646,GAD1
ILMN_1669876,CUX2
ILMN_2386982,PRKCZ
ILMN_1754076,CACNA2D3
ILMN_2342554,TAGLN3
ILMN_1698179,TAGLN3
ILMN_1812824,SST
ILMN_1767129,ABCC8
ILMN_1770641,KLHL3
ILMN_1744968,KCNAB1
ILMN_1776519,RAP1GAP
ILMN_1768595,DLG4
ILMN_1668125,MYRIP
ILMN_2205470,FAM153A
ILMN_2205470,FAM153CP
ILMN_1683998,CREG2
ILMN_2188722,GLS
ILMN_1661325,PKP4
ILMN_1698148,CHD5
ILMN_1758067,RGS4
ILMN_1685709,TMEM125
ILMN_2317581,SHANK3
ILMN_1855910,ST8SIA3
ILMN_1716362,MPPED1
ILMN_1728885,SHISAL1
ILMN_1808122,C1QTNF4
ILMN_1825369,NETO1
ILMN_1718671,GJB6
ILMN_1878019,DOK6
ILMN_1798587,ARHGEF7
ILMN_1755954,CPEB3
ILMN_1757807,ETNPPL
ILMN_1818677,MIR124-1HG
ILMN_1676413,VSNL1
ILMN_2394366,AMER2
ILMN_1775965,PPP4R4
ILMN_1886092,ENTREP2
ILMN_1715476,CKMT1B
ILMN_1715476,CKMT1A
ILMN_1795679,STMN2
ILMN_1864900,MIAT
ILMN_1811835,SLC12A5
ILMN_1905482,GPR37
ILMN_1762207,SGSM1
ILMN_2136147,BCAS1
ILMN_1906187,CAMK1D
ILMN_1887357,CHRM3
ILMN_1814333,SERPINI1
ILMN_1821473,OTUD7A
ILMN_1788663,KCNQ2
ILMN_1712719,MAP7
ILMN_1687268,SEC14L5
ILMN_1679532,GRM3
ILMN_1654632,RGS7BP
ILMN_1764573,XIST
ILMN_1840175,MIR124-2HG
ILMN_1877738,KCTD16
ILMN_1707571,GABRA5
ILMN_1768202,ANKRD24
ILMN_1819608,ARRB1
ILMN_1860963,RNF130
ILMN_1793435,BTBD8
ILMN_1754126,SH2D5
ILMN_1725746,CARNS1
ILMN_1777650,TMEM151B
ILMN_1738749,MAST3
ILMN_1772155,ZNF536
ILMN_1744191,SLC6A1
ILMN_1685582,MYT1L
ILMN_1697267,PRKCZ
ILMN_1857897,AGAP1
ILMN_1798557,FAM153A
ILMN_1733983,FAM153A
ILMN_1733983,FAM153CP
ILMN_1880834,FBXO41
