Genes,ID
A1BG,100827
A1BG,214684
A1CF,164108
A2M,226388
A2ML1,153869
A4GALT,85640
AAAS,199421
AACS,206076
AADAT,41281
AAK1,97283
AAK1,175315
AAK1,196949
AAMP,183852
AANAT,113108
AARS,175063
AARS2,130382
AASDH,44966
AASDH,49977
AASDH,154842
AASDHPPT,111144
AASDHPPT,142213
AASDHPPT,178001
AASS,169355
AATF,173963
AATF,203970
AATK,10380
AATK,83580
AATK,106257
ABAT,42240
ABAT,182943
ABCA1,123664
ABCA1,187094
ABCA1,210423
ABCA12,226953
ABCA13,187245
ABCA2,49505
ABCA3,160637
ABCA5,35941
ABCA5,236548
ABCA6,100437
ABCA6,236519
ABCA7,91508
ABCA8,81502
ABCA9,90624
ABCB1,36482
ABCB10,71066
ABCB10,71555
ABCB10,176176
ABCB10,189057
ABCB11,134250
ABCB4,97676
ABCB5,115449
ABCB6,196024
ABCB6,197623
ABCB7,89129
ABCB8,223583
ABCB9,81610
ABCB9,133348
ABCC10,91566
ABCC11,17987
ABCC12,83584
ABCC3,70024
ABCC4,30963
ABCC4,84705
ABCC4,143747
ABCC5,160646
ABCC5,190356
ABCC8,107002
ABCC9,85064
ABCC9,134918
ABCC9,143458
ABCD1,113293
ABCD2,158631
ABCD3,50750
ABCD3,106593
ABCE1,137065
ABCE1,160483
ABCF1,161855
ABCF2,165456
ABCF2,218022
ABCF3,42591
ABCG1,64197
ABCG2,186042
ABCG4,241169
ABHD1,68536
ABHD1,190697
ABHD10,201
ABHD10,96553
ABHD10,164327
ABHD11,82496
ABHD11,115243
ABHD11,132542
ABHD12,37737
ABHD12,45468
ABHD13,8369
ABHD13,151593
ABHD13,188382
ABHD14B,72061
ABHD14B,204651
ABHD2,3780
ABHD2,12950
ABHD2,110241
ABHD2,176419
ABHD2,192139
ABHD3,201462
ABHD4,173228
ABHD5,158107
ABHD8,153724
ABI1,189087
ABI1,214838
ABI2,178478
ABI2,213593
ABI3,76608
ABI3BP,39242
ABI3BP,229167
ABL1,6988
ABL1,162725
ABL1,200743
ABL1,225716
ABL1,229777
ABL2,42117
ABL2,106820
ABL2,145801
ABLIM1,188874
ABLIM2,159945
ABLIM3,141302
ABLIM3,236395
ABO,196533
ABR,114923
ABRA,223392
ABT1,230224
ABTB1,14397
ABTB1,164852
ABTB2,191959
ACAA1,86642
ACAA1,181691
ACAA2,77426
ACACA,36015
ACACA,189361
ACACB,234783
ACAD10,65045
ACAD10,90818
ACAD10,237662
ACAD8,183761
ACAD8,238311
ACAD9,101953
ACAD9,212963
ACADL,46511
ACADM,164001
ACADS,97205
ACADSB,73086
ACADSB,98734
ACADSB,103332
ACADVL,174001
ACAN,230894
ACAT1,135940
ACAT1,154885
ACAT2,44383
ACAT2,164598
ACBD3,168
ACBD3,176295
ACBD4,210645
ACBD4,233230
ACBD5,30538
ACBD5,234846
ACBD6,176871
ACCS,192505
ACD,179397
ACE,157207
ACE2,104606
ACHE,205990
ACIN1,111226
ACLY,24799
ACMSD,241255
ACO1,160049
ACO1,234885
ACO2,114416
ACO2,214749
ACOT11,122011
ACOT11,177443
ACOT11,238798
ACOT12,68158
ACOT4,24118
ACOT7,178795
ACOT8,114120
ACOT9,67759
ACOT9,90148
ACOX1,137839
ACOX1,214103
ACOX1,231007
ACOX2,218039
ACOX3,113467
ACOX3,140530
ACP1,123283
ACP1,211357
ACP2,145518
ACP2,196031
ACP5,175773
ACP6,48393
ACPP,4565
ACPP,221451
ACPT,104510
ACR,35796
ACR,120686
ACRBP,169061
ACRC,186345
ACSBG1,59496
ACSBG1,81240
ACSBG2,218242
ACSF2,5734
ACSF3,102871
ACSF3,117220
ACSL1,40086
ACSL3,107378
ACSL3,107538
ACSL4,45713
ACSL5,121483
ACSL6,52893
ACSL6,186661
ACSL6,207421
ACSM5,96242
ACSM5,112295
ACSM5,152408
ACSS1,80174
ACSS1,141617
ACSS1,228211
ACSS2,58513
ACSS2,134878
ACSS3,111412
ACTA1,76843
ACTA2,206952
ACTB,12144
ACTB,28893
ACTB,151176
ACTB,201533
ACTC1,120000
ACTC1,223658
ACTG2,26281
ACTL6A,139910
ACTL6B,91965
ACTL8,189937
ACTN1,115540
ACTN1,198293
ACTN2,199272
ACTN4,65068
ACTN4,110487
ACTR10,44501
ACTR10,233032
ACTR1A,13080
ACTR1A,70541
ACTR1A,236604
ACTR1B,175280
ACTR2,41739
ACTR2,155756
ACTR3,79778
ACTR3,154827
ACTR3,228235
ACTR3B,62881
ACTR3B,179230
ACTR5,95147
ACTR6,54786
ACTR8,96006
ACTR8,175951
ACVR1,107038
ACVR1B,894
ACVR1B,178860
ACVR1C,121290
ACVR1C,236628
ACVR2A,210905
ACVR2B,31334
ACVR2B,212150
ACVR2B,215059
ACVRL1,147162
ACVRL1,192193
ACY3,218326
ACYP1,82756
ADA,46354
ADAD1,189613
ADAD2,219156
ADAL,154190
ADAL,158893
ADAL,227366
ADAM10,180349
ADAM11,3360
ADAM11,235699
ADAM12,78295
ADAM12,117649
ADAM15,7402
ADAM17,174891
ADAM17,194277
ADAM19,134263
ADAM19,183353
ADAM21,19578
ADAM22,68497
ADAM22,144302
ADAM22,203715
ADAM22,223955
ADAM23,59900
ADAM28,42663
ADAM28,150247
ADAM30,111334
ADAM32,223292
ADAM33,70159
ADAM33,211979
ADAM8,153923
ADAM9,69589
ADAM9,92627
ADAMDEC1,208356
ADAMTS1,6738
ADAMTS1,20006
ADAMTS10,10023
ADAMTS12,29084
ADAMTS12,234407
ADAMTS13,29945
ADAMTS13,70332
ADAMTS13,198709
ADAMTS14,64400
ADAMTS14,222693
ADAMTS15,179239
ADAMTS16,171841
ADAMTS16,189895
ADAMTS17,242943
ADAMTS18,28263
ADAMTS18,223913
ADAMTS19,210349
ADAMTS2,75423
ADAMTS2,125900
ADAMTS2,177363
ADAMTS20,108038
ADAMTS20,134595
ADAMTS3,119319
ADAMTS3,177688
ADAMTS5,215906
ADAMTS6,196657
ADAMTS6,226312
ADAMTS7,50640
ADAMTS7,100338
ADAMTS7,136003
ADAMTS8,153525
ADAMTS9,4506
ADAMTS9,40892
ADAMTS9,108821
ADAMTSL1,4015
ADAMTSL1,166544
ADAMTSL1,196626
ADAMTSL1,240801
ADAMTSL2,165051
ADAMTSL3,13805
ADAMTSL3,113326
ADAMTSL3,167902
ADAMTSL4,107430
ADAMTSL4,126845
ADAMTSL4,159622
ADAMTSL4,210165
ADAR,45526
ADAR,230018
ADARB1,64711
ADARB1,167762
ADARB1,190835
ADARB2,12367
ADAT1,117830
ADAT1,159547
ADAT2,78027
ADAT2,171692
ADCK1,108418
ADCK2,66920
ADCK2,173544
ADCK5,183582
ADCY1,52233
ADCY1,115821
ADCY2,142446
ADCY2,230343
ADCY3,3454
ADCY4,128851
ADCY5,19262
ADCY5,117831
ADCY7,93293
ADCY7,128985
ADCY8,80192
ADCY9,66934
ADCY9,236409
ADCYAP1,126710
ADCYAP1,202499
ADCYAP1R1,149751
ADD1,43683
ADD1,47649
ADD1,78903
ADD1,88370
ADD2,108315
ADD2,110079
ADD2,136967
ADD3,119896
ADD3,241952
ADH1A,63841
ADH1A,133224
ADH1C,157367
ADH4,110886
ADH6,27716
ADH6,100333
ADH7,50752
ADHFE1,193846
ADI1,11928
ADI1,12875
ADI1,37865
ADIG,134730
ADIPOQ,232929
ADIPOR1,226740
ADIPOR2,57993
ADIPOR2,187030
ADK,151970
ADM,23249
ADNP,191777
ADNP,221721
ADNP2,86101
ADO,238048
ADORA1,94620
ADORA2B,65609
ADPGK,125409
ADPRH,163736
ADPRHL1,236869
ADPRHL1,241165
ADPRHL2,204974
ADRA1A,108467
ADRA1D,93117
ADRA2A,219564
ADRB1,18502
ADRB2,222163
ADRM1,141249
ADRM1,236884
ADSL,96049
ADSS,134668
ADSS,232105
ADSSL1,187280
AEBP1,190104
AEBP1,229536
AEBP2,99692
AEBP2,133950
AES,156710
AES,158507
AES,209210
AFAP1,197106
AFAP1L1,57811
AFAP1L1,131816
AFAP1L2,142996
AFAP1L2,189961
AFF1,40251
AFF1,56503
AFF1,187666
AFF2,167734
AFF3,63458
AFF3,79405
AFF4,22966
AFF4,42516
AFF4,67198
AFF4,97324
AFF4,210231
AFG3L2,168882
AFG3L2,202918
AFMID,24034
AFMID,61517
AFP,211811
AFTPH,79671
AFTPH,116744
AFTPH,188871
AGA,106372
AGBL1,151728
AGBL2,45327
AGBL3,157826
AGBL3,226885
AGBL4,115499
AGBL4,224434
AGBL5,1317
AGBL5,10169
AGBL5,180170
AGER,39813
AGGF1,17393
AGGF1,101170
AGGF1,199416
AGK,69049
AGK,73472
AGL,68746
AGMAT,169872
AGMAT,200922
AGPAT2,95921
AGPAT3,102710
AGPAT3,183320
AGPAT3,226792
AGPAT4,54458
AGPAT4,85682
AGPAT4,214968
AGPAT5,31704
AGPAT5,189165
AGPS,206564
AGPS,208680
AGR2,26088
AGR3,66715
AGRN,62660
AGRN,109430
AGRN,126440
AGT,90570
AGTPBP1,73168
AGTPBP1,79493
AGTR1,196261
AGTR1,226221
AGTR2,237198
AGXT,55969
AGXT,141459
AHCY,93823
AHCY,144201
AHCYL1,117396
AHCYL1,119298
AHCYL2,10277
AHCYL2,217975
AHDC1,67180
AHDC1,166128
AHI1,18037
AHI1,36060
AHI1,65156
AHI1,218312
AHNAK,9633
AHNAK,18384
AHNAK,33016
AHNAK,135282
AHNAK,229613
AHNAK2,183120
AHNAK2,191295
AHNAK2,198094
AHR,146820
AHSA1,78408
AHSA2,69834
AHSG,27602
AHSG,170301
AIF1,239315
AIFM1,171337
AIFM2,89122
AIFM2,160935
AIFM3,121034
AIG1,165593
AIM1,194593
AIM1L,54866
AIM1L,112286
AIM1L,164140
AIM2,93058
AIP,125898
AIP,204359
AIPL1,40348
AIPL1,236707
AIRE,61506
AIRE,168806
AJAP1,82406
AK1,164558
AK1,234111
AK2,78
AK2,26930
AK2,61183
AK2,76696
AK3,170157
AK5,76783
AK5,167472
AK7,183677
AKAP1,14684
AKAP10,95852
AKAP11,40389
AKAP11,189901
AKAP12,16710
AKAP12,33315
AKAP13,17057
AKAP13,135273
AKAP13,227981
AKAP13,233295
AKAP14,40068
AKAP3,188833
AKAP5,145192
AKAP6,170847
AKAP6,189295
AKAP7,95744
AKAP8,145448
AKAP8L,89608
AKAP8L,155374
AKAP9,20062
AKAP9,27974
AKAP9,132672
AKNA,122888
AKNA,226074
AKR1A1,63275
AKR1A1,85154
AKR1B1,242868
AKR1B10,181942
AKR1B10,233629
AKR1C1,53962
AKR1C1,102822
AKR1C1,129808
AKR1C1,236484
AKR1C3,176102
AKR7A2,109816
AKR7A3,156312
AKT1,216082
AKT1S1,113501
AKT1S1,228444
AKT2,28682
AKT2,64581
AKT2,201353
AKT3,26287
AKT3,125983
AKT3,240972
AKTIP,233354
AKTIP,242216
ALAD,84914
ALAD,234060
ALB,88356
ALB,121014
ALB,163499
ALCAM,7382
ALCAM,54399
ALDH16A1,120059
ALDH16A1,221442
ALDH18A1,99170
ALDH1A1,46333
ALDH1A3,1866
ALDH1A3,161461
ALDH1B1,70099
ALDH1B1,197207
ALDH1L1,861
ALDH1L1,161528
ALDH1L2,37311
ALDH2,18489
ALDH2,227661
ALDH3A1,73558
ALDH3A2,25500
ALDH3B1,54272
ALDH3B1,182631
ALDH4A1,182776
ALDH4A1,208878
ALDH4A1,223440
ALDH5A1,21589
ALDH5A1,43181
ALDH5A1,203382
ALDH6A1,85468
ALDH7A1,34663
ALDH8A1,30124
ALDH8A1,52081
ALDH9A1,86211
ALDOA,77624
ALDOA,230995
ALDOB,56808
ALDOB,200927
ALDOC,88504
ALG1,7480
ALG1,72553
ALG1,118662
ALG1,147562
ALG12,179390
ALG13,33966
ALG14,135254
ALG2,81655
ALG3,183285
ALG3,191747
ALG6,137224
ALG8,162807
ALG9,30072
ALG9,180768
ALG9,211412
ALKBH1,213054
ALKBH2,75355
ALKBH2,105039
ALKBH3,71962
ALKBH4,142838
ALKBH5,26006
ALKBH5,124404
ALKBH6,67530
ALKBH7,200691
ALKBH8,198578
ALLC,118805
ALMS1,92633
ALMS1,155474
ALOX12B,100238
ALOX15,129588
ALOX15,193896
ALOX15B,51633
ALOX5,94813
ALOX5AP,5573
ALOX5AP,44949
ALOXE3,203780
ALPK1,66106
ALPK1,202245
ALPK1,207140
ALPK2,86349
ALPK3,139564
ALPL,58954
ALPL,228168
ALPPL2,151624
ALPPL2,169493
ALS2,77964
ALS2,137913
ALS2,173912
ALS2CL,105571
ALS2CL,223138
ALS2CR11,207796
ALS2CR12,94781
ALX1,310
ALX3,234198
AMBN,215577
AMBP,120457
AMBRA1,209670
AMD1,102271
AMD1,136872
AMDHD1,147516
AMELX,49054
AMFR,104404
AMFR,136791
AMHR2,136556
AMIGO1,177739
AMIGO1,212136
AMIGO2,125698
AMMECR1,19043
AMMECR1,180783
AMMECR1L,22105
AMMECR1L,193783
AMN,13600
AMOT,134389
AMOT,230253
AMOTL1,27770
AMOTL1,99393
AMOTL1,153264
AMOTL1,220733
AMOTL2,160375
AMPD2,11547
AMPD3,7894
AMPD3,45612
AMPH,27937
AMPH,164042
AMPH,200240
AMZ1,137068
AMZ2,84881
ANAPC10,138712
ANAPC11,39106
ANAPC13,92421
ANAPC2,139672
ANAPC4,54084
ANAPC5,12863
ANAPC5,43829
ANAPC5,221639
ANAPC7,38093
ANAPC7,140098
ANGEL1,90275
ANGEL2,46449
ANGEL2,56703
ANGEL2,131804
ANGPT1,10491
ANGPT1,10855
ANGPT1,52500
ANGPT2,73803
ANGPT2,136686
ANGPT2,208772
ANGPTL1,226269
ANGPTL1,241482
ANGPTL2,18869
ANGPTL2,185212
ANGPTL3,148760
ANGPTL4,140054
ANGPTL6,219309
ANGPTL7,112320
ANK1,171475
ANK1,180968
ANK1,208133
ANK2,207659
ANK3,63941
ANK3,122906
ANK3,163678
ANK3,214754
ANKAR,134102
ANKDD1A,15717
ANKDD1A,46828
ANKFN1,232002
ANKFY1,97967
ANKFY1,167572
ANKH,14611
ANKH,66261
ANKH,210490
ANKIB1,16800
ANKIB1,57142
ANKIB1,127094
ANKLE1,67938
ANKLE2,108214
ANKMY1,21061
ANKMY1,101869
ANKMY1,129995
ANKMY2,165691
ANKRA2,15737
ANKRA2,200850
ANKRA2,204239
ANKRD10,15100
ANKRD10,101919
ANKRD11,13446
ANKRD11,132201
ANKRD11,164626
ANKRD11,225834
ANKRD11,236636
ANKRD12,11436
ANKRD12,13423
ANKRD12,95926
ANKRD12,174054
ANKRD13A,113919
ANKRD13A,222874
ANKRD13B,145171
ANKRD13C,234071
ANKRD13D,58588
ANKRD13D,142441
ANKRD16,177878
ANKRD17,58797
ANKRD17,87335
ANKRD17,127572
ANKRD2,11913
ANKRD2,135512
ANKRD22,221100
ANKRD24,76116
ANKRD24,228089
ANKRD26,27067
ANKRD26,66907
ANKRD26,182169
ANKRD27,108485
ANKRD28,142601
ANKRD28,144980
ANKRD29,177776
ANKRD31,143527
ANKRD33,87608
ANKRD34A,224808
ANKRD35,71144
ANKRD36B,83954
ANKRD36B,102499
ANKRD36B,133792
ANKRD36B,144939
ANKRD36B,177689
ANKRD37,97985
ANKRD39,27266
ANKRD40,101991
ANKRD44,45430
ANKRD44,74408
ANKRD45,22428
ANKRD46,84091
ANKRD49,129531
ANKRD50,162949
ANKRD50,200190
ANKRD52,115388
ANKRD53,93631
ANKRD53,183919
ANKRD54,69000
ANKRD54,114336
ANKRD55,185423
ANKRD6,39297
ANKRD6,59881
ANKRD9,200321
ANKS1A,148086
ANKS1B,159231
ANKS1B,234888
ANKS3,156344
ANKS6,42068
ANKS6,106310
ANKS6,220776
ANKZF1,64677
ANLN,221656
ANP32A,87974
ANP32A,130496
ANP32B,59493
ANP32D,123274
ANP32E,41011
ANP32E,117265
ANPEP,187256
ANTXR1,4487
ANTXR1,90861
ANTXR1,120687
ANTXR2,102280
ANTXR2,119746
ANTXR2,172574
ANXA1,169712
ANXA11,49913
ANXA11,211966
ANXA11,216391
ANXA13,135749
ANXA13,231377
ANXA2,113956
ANXA2,168032
ANXA2,171195
ANXA2P1,37229
ANXA2P3,187058
ANXA3,234761
ANXA4,232911
ANXA5,47166
ANXA6,69896
ANXA7,200869
ANXA7,241716
ANXA9,32811
AOAH,88460
AOC2,60515
AOC3,37652
AOX1,226734
AP1B1,28751
AP1G1,5792
AP1G1,170101
AP1G1,204876
AP1G2,17397
AP1M1,13111
AP1S1,165434
AP1S1,190558
AP1S2,227447
AP1S2,237770
AP1S3,22243
AP1S3,35719
AP2A1,176456
AP2A2,38462
AP2A2,74847
AP2A2,114518
AP2B1,15343
AP2B1,33306
AP2M1,120515
AP2S1,81633
AP3B1,15744
AP3B2,49440
AP3D1,217423
AP3D1,230442
AP3M1,119782
AP3M1,191246
AP3M1,200210
AP3M2,2908
AP3M2,85686
AP3S1,2129
AP4B1,94930
AP4E1,197411
AP4E1,224669
AP4M1,88920
AP4S1,206886
AP4S1,218966
APAF1,192418
APBA1,196526
APBA2,85447
APBA2,218256
APBA3,41493
APBB1,94405
APBB1,144423
APBB1IP,89776
APBB1IP,107990
APBB1IP,239349
APBB2,136131
APC,139348
APC,220565
APC2,94695
APC2,110237
APC2,157291
APC2,187642
APCDD1,221458
APCDD1L,137713
APEH,113331
APEH,231744
APEX1,20057
APEX1,61566
APEX2,181848
APH1A,7007
APH1A,182225
APH1B,136564
API5,93182
API5,139988
APIP,201579
APLN,20949
APLN,111253
APLN,160948
APLP1,15249
APLP2,17182
APLP2,239690
APOA2,241076
APOA4,180317
APOA4,206954
APOB,20597
APOBEC2,83183
APOBEC3C,2026
APOBEC3D,16008
APOBEC3D,123204
APOBEC3F,242682
APOBEC3G,137508
APOBEC3G,165311
APOC1,88808
APOC1,94862
APOD,225079
APOE,11196
APOH,87241
APOL1,5418
APOL1,226180
APOL2,130396
APOL2,216435
APOL3,130143
APOL3,146996
APOL4,6168
APOL4,114814
APOL6,24512
APOL6,38966
APOL6,224581
APOL6,228354
APOLD1,173877
APOM,128159
APOM,162682
APOO,150044
APOOL,93382
APP,152069
APPBP2,150539
APPBP2,199742
APPL1,67164
APPL1,238454
APPL2,93519
APRT,183335
APTX,130165
AQP11,84934
AQP2,712
AQP2,130733
AQP3,96037
AQP3,141314
AQP4,64521
AQP4,75251
AQP5,176685
AQP5,188143
AQP6,137330
AQP9,121276
AQR,46526
AQR,195750
AR,167226
ARAF,9270
ARC,77827
ARCN1,169779
ARCN1,173690
AREG,95393
ARF3,48308
ARF3,51497
ARF3,164077
ARF4,59480
ARF5,24451
ARF5,126335
ARF6,81411
ARF6,112704
ARFGAP1,15649
ARFGAP1,209343
ARFGAP2,209006
ARFGAP3,243310
ARFGEF1,165818
ARFGEF2,180948
ARFIP1,201936
ARFIP1,208034
ARFIP2,123747
ARFRP1,102289
ARG1,193000
ARG2,198434
ARGLU1,125420
ARHGAP1,54343
ARHGAP1,206942
ARHGAP10,55465
ARHGAP11A,18229
ARHGAP11A,88943
ARHGAP11A,104769
ARHGAP12,95684
ARHGAP17,8633
ARHGAP17,164004
ARHGAP18,102653
ARHGAP20,133075
ARHGAP20,159963
ARHGAP21,32656
ARHGAP22,193910
ARHGAP24,111044
ARHGAP24,116308
ARHGAP24,219449
ARHGAP24,238891
ARHGAP25,115517
ARHGAP25,155482
ARHGAP26,221409
ARHGAP26,236881
ARHGAP27,38300
ARHGAP27,67247
ARHGAP28,3379
ARHGAP28,208364
ARHGAP29,208833
ARHGAP29,240170
ARHGAP30,49662
ARHGAP30,187636
ARHGAP4,143320
ARHGAP5,69209
ARHGAP6,105016
ARHGAP6,111855
ARHGAP9,61204
ARHGDIA,12634
ARHGDIA,142453
ARHGDIA,223593
ARHGDIB,12715
ARHGDIG,97104
ARHGEF10,34473
ARHGEF10,49847
ARHGEF10,150548
ARHGEF10,154319
ARHGEF10,170542
ARHGEF10,180119
ARHGEF10L,46631
ARHGEF10L,174534
ARHGEF11,99533
ARHGEF11,111898
ARHGEF12,180206
ARHGEF12,187532
ARHGEF15,98563
ARHGEF15,163339
ARHGEF16,84135
ARHGEF17,170879
ARHGEF17,171969
ARHGEF18,127501
ARHGEF19,84708
ARHGEF2,94815
ARHGEF3,91738
ARHGEF6,63588
ARHGEF6,120270
ARHGEF6,241126
ARHGEF7,53679
ARHGEF7,105611
ARHGEF9,148125
ARHGEF9,214548
ARID1A,7137
ARID1A,46436
ARID1A,129626
ARID1B,44189
ARID1B,113788
ARID2,85
ARID2,232118
ARID3A,33191
ARID3B,178522
ARID4A,151682
ARID4A,218489
ARID4B,231028
ARID4B,236529
ARID5A,28680
ARID5B,27200
ARID5B,53353
ARID5B,156966
ARID5B,199708
ARIH1,99564
ARIH1,215277
ARIH2,171521
ARIH2,183166
ARIH2,214954
ARL1,46795
ARL1,89708
ARL1,144458
ARL10,198982
ARL11,52124
ARL11,56535
ARL11,188910
ARL13B,44214
ARL13B,165825
ARL14,18102
ARL15,163542
ARL2BP,216873
ARL3,172639
ARL3,191792
ARL4A,213133
ARL4A,223455
ARL4C,41885
ARL4D,21974
ARL4D,137652
ARL5B,160437
ARL5B,163473
ARL6,5140
ARL6IP1,10181
ARL6IP1,208328
ARL6IP4,57764
ARL6IP4,69948
ARL6IP4,170997
ARL6IP5,29021
ARL6IP5,118902
ARL6IP6,36175
ARL8A,66717
ARL8A,221385
ARL8B,143808
ARL8B,189836
ARMC1,80207
ARMC10,125096
ARMC10,230650
ARMC2,20958
ARMC2,106656
ARMC3,32580
ARMC4,25851
ARMC4,239577
ARMC5,226099
ARMC6,109047
ARMC7,114824
ARMC8,39623
ARMC8,65388
ARMC8,76282
ARMC8,162913
ARMC9,142986
ARMC9,169273
ARMC9,175911
ARMCX1,143510
ARMCX2,33904
ARMCX3,174220
ARMCX3,216543
ARMCX4,203971
ARMCX6,99236
ARMCX6,236858
ARNT,27528
ARNT,196140
ARNT2,114209
ARNTL,124722
ARNTL2,165548
ARNTL2,178616
ARNTL2,179971
ARPC1A,123571
ARPC1B,173792
ARPC2,92494
ARPC3,50392
ARPC5,159125
ARPC5L,143537
ARR3,141755
ARRB1,40627
ARRB2,91133
ARRDC1,98977
ARRDC1,228104
ARRDC2,60825
ARRDC2,143667
ARRDC3,124700
ARRDC3,233503
ARRDC4,39569
ARSA,221696
ARSB,114188
ARSD,31914
ARSD,88465
ARSE,17357
ARSF,91347
ARSG,61063
ARSG,178914
ARSI,93121
ARSJ,35358
ARSK,139546
ART3,226436
ARTN,187732
ARVCF,92422
ARVCF,166999
ARX,200390
ASAH1,10902
ASAH1,191943
ASB12,178068
ASB13,13447
ASB13,236664
ASB2,41591
ASB4,65496
ASB4,187675
ASB5,114304
ASB5,232498
ASB6,41899
ASB6,83737
ASB7,117382
ASB7,219089
ASB8,122460
ASB8,128407
ASB9,103949
ASCC2,177920
ASCC3,35132
ASCC3,79089
ASCC3,228562
ASCL1,74843
ASCL2,20328
ASCL2,179641
ASF1A,82938
ASF1A,159256
ASF1B,241092
ASGR1,71645
ASGR2,34416
ASH1L,65653
ASH1L,165978
ASH2L,101490
ASL,237195
ASMTL,84132
ASMTL,229088
ASNA1,237746
ASNS,120096
ASNS,173855
ASNSD1,219985
ASPA,21374
ASPA,203502
ASPH,37986
ASPH,117090
ASPH,124659
ASPHD1,143746
ASPHD2,30303
ASPHD2,176578
ASPM,2405
ASPM,141726
ASPN,36440
ASPRV1,185838
ASPSCR1,152157
ASS1,5025
ASTE1,129682
ASTN1,34536
ASTN1,142500
ASTN2,92172
ASTN2,151719
ASXL1,5547
ASXL1,88272
ASXL3,4990
ASXL3,54649
ASXL3,61156
ATAD1,70181
ATAD1,126744
ATAD2,110113
ATAD2,237816
ATAD2B,102407
ATAD3A,89286
ATAD5,3982
ATAD5,176651
ATCAY,110798
ATCAY,119551
ATCAY,204694
ATE1,197943
ATF1,69168
ATF2,17501
ATF2,122896
ATF2,188569
ATF3,16519
ATF3,38802
ATF4,45464
ATF4,141498
ATF5,45636
ATF6,202672
ATF7,108775
ATF7,119571
ATF7IP,112324
ATF7IP,226434
ATF7IP,230265
ATF7IP2,145827
ATF7IP2,201795
ATG10,11277
ATG10,179962
ATG12,24981
ATG12,44591
ATG16L1,108179
ATG16L1,203504
ATG16L2,76680
ATG2A,47950
ATG2B,226849
ATG2B,234742
ATG3,108533
ATG3,235463
ATG4A,56698
ATG4B,33086
ATG4B,134797
ATG4C,160470
ATG4C,165834
ATG4D,238999
ATG5,2441
ATG5,47158
ATG7,33773
ATG7,133610
ATG9A,68026
ATIC,26037
ATL3,131339
ATM,133811
ATM,172881
ATM,196548
ATMIN,142039
ATMIN,144730
ATMIN,179166
ATN1,69708
ATN1,208739
ATOH1,88731
ATOH7,40847
ATOH7,149376
ATOH8,183045
ATOX1,49287
ATP10A,88112
ATP10A,147866
ATP10A,152897
ATP10B,83682
ATP10D,110760
ATP10D,233850
ATP11A,42462
ATP11A,56926
ATP11A,102913
ATP11B,58861
ATP11B,100430
ATP11B,113423
ATP11B,132848
ATP11B,209505
ATP11C,150500
ATP11C,160958
ATP12A,40335
ATP13A1,106927
ATP13A2,14716
ATP13A2,201585
ATP13A3,17312
ATP13A3,229810
ATP13A4,28930
ATP13A4,61023
ATP13A4,62962
ATP13A5,51638
ATP1A1,212081
ATP1A2,213774
ATP1A4,34085
ATP1A4,64747
ATP1A4,110517
ATP1B1,43307
ATP1B1,210864
ATP1B2,136891
ATP1B3,97248
ATP1B4,88023
ATP1B4,91822
ATP2A1,181564
ATP2A2,14867
ATP2A2,82398
ATP2A2,173113
