Genes,ID
A1BG,229819_at
A1CF,220951_s_at
A1CF,241547_at
A2M,1558450_at
A2M,217757_at
A2ML1,1553505_at
A2ML1,1564307_a_at
A4GALT,219488_at
AAAS,218075_at
AACS,218434_s_at
AADAT,223593_at
AAK1,205434_s_at
AAK1,205435_s_at
AAK1,211186_s_at
AAK1,214956_at
AAK1,214998_at
AAK1,225522_at
AAK1,238100_at
AAMP,201511_at
AANAT,207225_at
AARS,201000_at
AARS2,230024_at
AARS2,231845_at
AASDH,228041_at
AASDH,235435_at
AASDHPPT,202169_s_at
AASDHPPT,202170_s_at
AASDHPPT,224313_at
AASS,210852_s_at
AASS,214829_at
AATF,209165_at
AATK,205986_at
ABAT,206527_at
ABAT,209459_s_at
ABAT,209460_at
ABCA1,1570279_at
ABCA1,203504_s_at
ABCA1,203505_at
ABCA1,216066_at
ABCA12,215465_at
ABCA13,1553295_at
ABCA13,1553604_at
ABCA13,1553605_a_at
ABCA2,210099_at
ABCA2,210100_s_at
ABCA2,212772_s_at
ABCA3,204343_at
ABCA5,213353_at
ABCA5,241705_at
ABCA6,217504_at
ABCA7,219577_s_at
ABCA8,1565778_at
ABCA8,1565780_at
ABCA8,204719_at
ABCA9,235335_at
ABCA9,239185_at
ABCA9,242541_at
ABCB1,209993_at
ABCB1,243951_at
ABCB10,223320_s_at
ABCB11,208288_at
ABCB11,211224_s_at
ABCB4,1570505_at
ABCB4,207819_s_at
ABCB5,1555371_at
ABCB5,1569072_s_at
ABCB5,240717_at
ABCB5,243167_at
ABCB6,203191_at
ABCB6,203192_at
ABCB7,209620_s_at
ABCB8,206317_s_at
ABCB8,229539_at
ABCB9,1555323_at
ABCB9,207321_s_at
ABCB9,214209_s_at
ABCC10,213485_s_at
ABCC10,215873_x_at
ABCC11,1554911_at
ABCC11,224146_s_at
ABCC12,1552590_a_at
ABCC12,1553410_a_at
ABCC3,208161_s_at
ABCC3,209641_s_at
ABCC3,230682_x_at
ABCC3,239217_x_at
ABCC3,242553_at
ABCC4,1554918_a_at
ABCC4,1555039_a_at
ABCC4,203196_at
ABCC4,243928_s_at
ABCC5,1558460_at
ABCC5,209380_s_at
ABCC5,226363_at
ABCC8,210245_at
ABCC8,210246_s_at
ABCC9,1557374_at
ABCC9,208462_s_at
ABCC9,208561_at
ABCC9,208562_s_at
ABCC9,235578_at
ABCD1,205142_x_at
ABCD2,207583_at
ABCD3,1554878_a_at
ABCD3,202850_at
ABCE1,201872_s_at
ABCE1,201873_s_at
ABCF1,200045_at
ABCF2,207622_s_at
ABCF2,207623_at
ABCF2,209246_at
ABCF2,209247_s_at
ABCF2,214232_at
ABCF3,202394_s_at
ABCG1,204567_s_at
ABCG1,211113_s_at
ABCG1,230913_at
ABCG1,232081_at
ABCG2,209735_at
ABCG4,207593_at
ABHD1,1560117_at
ABHD1,232550_at
ABHD1,236461_at
ABHD10,218633_x_at
ABHD10,222697_s_at
ABHD11,1552470_a_at
ABHD11,1552800_at
ABHD11,221927_s_at
ABHD12,224742_at
ABHD12,228123_s_at
ABHD12,228124_at
ABHD13,234993_at
ABHD13,235348_at
ABHD14B,224821_at
ABHD2,205566_at
ABHD2,221815_at
ABHD2,225337_at
ABHD2,228490_at
ABHD2,63825_at
ABHD2,87100_at
ABHD3,213017_at
ABHD4,218581_at
ABHD4,242023_at
ABHD5,213805_at
ABHD5,213935_at
ABHD5,218739_at
ABHD5,232862_at
ABHD8,219101_x_at
ABI1,1559890_a_at
ABI1,209027_s_at
ABI1,209028_s_at
ABI2,207268_x_at
ABI2,209856_x_at
ABI2,211793_s_at
ABI2,216113_at
ABI2,225098_at
ABI2,225112_at
ABI2,227631_at
ABI2,231075_x_at
ABI3,223615_at
ABI3BP,1559077_at
ABI3BP,220518_at
ABI3BP,223395_at
ABL1,202123_s_at
ABL2,206411_s_at
ABL2,226893_at
ABL2,231907_at
ABLIM1,200965_s_at
ABLIM1,210461_s_at
ABLIM2,1567622_at
ABLIM2,1567623_at
