Genes,ID
A1BG,16876116
A1CF,16714348
A2M,16761012
A2ML1,16748015
A4GALT,16935690
AAAS,16765284
AACS,16758885
AADAT,16981444
AAK1,16898617
AAMP,16908316
AANAT,16838073
AARS,16827764
AARS2,17019582
AASDH,16976133
AASDHPPT,16730742
AASS,17062280
AATF,16833518
AATK,16849720
ABAT,16815735
ABCA1,17096728
ABCA12,16907979
ABCA13,17045938
ABCA2,17100211
ABCA3,16823109
ABCA5,16848318
ABCA6,16848219
ABCA7,16856361
ABCA8,16848123
ABCA9,16848173
ABCB1,17059491
ABCB10,16700324
ABCB11,16904793
ABCB4,17059451
ABCB5,17044009
ABCB6,16908618
ABCB7,17112213
ABCB8,17053498
ABCB9,16771816
ABCC10,17008971
ABCC11,16826320
ABCC12,16826278
ABCC3,16836021
ABCC4,16780271
ABCC5,16962129
ABCC8,16736278
ABCC9,16762154
ABCD1,17108096
ABCD2,16763182
ABCD3,16667303
ABCE1,16971139
ABCF1,17006288
ABCF1,17027471
ABCF1,17030316
ABCF1,17033021
ABCF1,17035141
ABCF1,17037800
ABCF1,17040514
ABCF2,17064459
ABCF3,16948773
ABCG1,16923145
ABCG2,16977868
ABCG4,16732224
ABHD1,16878098
ABHD10,16943868
ABHD11,17058582
ABHD12,16918077
ABHD13,16776335
ABHD14B,16954669
ABHD2,16804539
ABHD3,16854202
ABHD4,16782132
ABHD5,16939815
ABHD8,16870165
ABI1,16712627
ABI2,16889779
ABI3,16835556
ABI3BP,16956792
ABL1,17090373
ABL2,16696824
ABLIM1,16718622
ABLIM2,16974146
ABLIM3,16990862
ABO,17099466
ABR,16839294
ABRA,17080077
ABT1,17005751
ABTB1,16945137
ABTB2,16737260
ACAA1,16952244
ACAA2,16855184
ACACA,16843728
ACACB,16756649
ACAD10,16757112
ACAD8,16733660
ACAD9,16945254
ACADL,16907812
ACADM,16666239
ACADM,16666266
ACADS,16757990
ACADSB,16710245
ACADVL,16830302
ACAN,16804506
ACAT1,16730819
ACAT2,17014309
ACBD3,16700023
ACBD4,16834900
ACBD5,16712734
ACBD6,16696903
ACCS,16723998
ACD,16827394
ACE,16836896
ACE2,17109301
ACHE,17060791
ACIN1,16790693
ACLY,16844936
ACMSD,16885897
ACO1,17084184
ACO2,16930635
ACOT11,16664978
ACOT12,16997702
ACOT4,16786264
ACOT7,16681103
ACOT8,16919673
ACOT9,17109780
ACOX1,16849026
ACOX2,16955535
ACOX3,16974182
ACP1,16876440
ACP2,16737946
ACP5,16869023
ACP6,16692341
ACPP,16945682
ACPT,16864586
ACR,16931838
ACRBP,16760523
ACRC,17104800
ACSBG1,16812105
ACSBG2,16857411
ACSF2,16835816
ACSF3,16821894
ACSL1,16982047
ACSL3,16891575
ACSL4,17113293
ACSL5,16709268
ACSL6,16999654
ACSM5,16816563
ACSS1,16918023
ACSS2,16912975
ACSS3,16754729
ACTA1,16700274
ACTA2,16716350
ACTB,17054823
ACTC1,16807014
ACTG2,16881594
ACTL6A,16948278
ACTL6B,17060710
ACTL8,16660151
ACTN1,16794177
ACTN2,16679064
ACTN4,16861852
ACTR10,16784617
ACTR1A,16717943
ACTR1B,16900783
ACTR2,16880758
ACTR3,16884797
ACTR3B,17053775
ACTR5,16913653
ACTR6,16755602
ACTR8,16955133
ACVR1,16903969
ACVR1B,16751401
ACVR1C,16903953
ACVR2A,16886308
ACVR2B,16939231
ACVRL1,16751381
ACY3,16741130
ACYP1,16794888
ADA,16919466
ADAD1,16970363
ADAD2,16821454
ADAL,16800191
ADAM10,16809880
ADAM11,16834840
ADAM12,16719417
ADAM15,16671579
ADAM17,16894335
ADAM19,17002194
ADAM21,16785932
