Genes,ID
A1BG,229819_at
A1CF,220951_s_at
A2M,217757_at
A2ML1,1564307_a_at
A4GALT,219488_at
AAAS,218075_at
AACS,218434_s_at
AADAT,223593_at
AAK1,225522_at
AAMP,201511_at
AANAT,207225_at
AARS,201000_at
AARS2,231845_at
AASDH,235435_at
AASDHPPT,202169_s_at
AASS,214829_at
AATF,209165_at
AATK,205986_at
ABAT,209459_s_at
ABCA1,203505_at
ABCA12,215465_at
ABCA13,1553604_at
ABCA2,212772_s_at
ABCA3,204343_at
ABCA5,213353_at
ABCA6,217504_at
ABCA7,219577_s_at
ABCA8,204719_at
ABCA9,239185_at
ABCB1,209993_at
ABCB10,223320_s_at
ABCB11,208288_at
ABCB4,207819_s_at
ABCB5,240717_at
ABCB6,203192_at
ABCB7,209620_s_at
ABCB8,229539_at
ABCB9,214209_s_at
ABCC10,213485_s_at
ABCC11,224146_s_at
ABCC12,1553410_a_at
ABCC3,208161_s_at
ABCC4,203196_at
ABCC5,209380_s_at
ABCC8,210246_s_at
ABCC9,208562_s_at
ABCD1,205142_x_at
ABCD2,207583_at
ABCD3,202850_at
ABCE1,201872_s_at
ABCF1,200045_at
ABCF2,207622_s_at
ABCF3,202394_s_at
ABCG1,204567_s_at
ABCG2,209735_at
ABCG4,207593_at
ABHD1,232550_at
ABHD10,218633_x_at
ABHD11,221927_s_at
ABHD12,228123_s_at
ABHD13,235348_at
ABHD14B,224821_at
ABHD2,225337_at
ABHD3,213017_at
ABHD4,218581_at
ABHD5,213935_at
ABHD8,219101_x_at
ABI1,209027_s_at
ABI2,225098_at
ABI2,227631_at
ABI3,223615_at
ABI3BP,223395_at
ABL1,202123_s_at
ABL2,231907_at
ABLIM1,200965_s_at
ABLIM2,228132_at
ABLIM3,205730_s_at
ABO,216929_x_at
ABR,212895_s_at
ABRA,1552732_at
ABT1,218405_at
ABTB1,229164_s_at
ABTB2,213497_at
ACAA1,214274_s_at
ACAA2,202003_s_at
ACACA,212186_at
ACACB,49452_at
ACAD10,219986_s_at
ACAD8,221669_s_at
ACAD9,224160_s_at
ACADL,206068_s_at
ACADM,202502_at
ACADS,202366_at
ACADSB,226030_at
ACADVL,200710_at
ACAN,217161_x_at
ACAT1,205412_at
ACAT2,209608_s_at
ACBD3,202324_s_at
ACBD4,219413_at
ACBD5,225663_at
ACBD6,225317_at
ACCS,228264_at
ACD,204617_s_at
ACE,227463_at
ACE2,219962_at
ACHE,205378_s_at
ACIN1,201715_s_at
ACLY,201128_s_at
ACMSD,230602_at
ACO1,207071_s_at
ACO2,200793_s_at
ACOT11,216103_at
ACOT12,238160_at
ACOT4,229534_at
ACOT7,208002_s_at
ACOT8,204212_at
ACOT9,221641_s_at
ACOX1,227962_at
ACOX2,205364_at
ACOX3,204241_at
ACP1,201630_s_at
ACP2,202767_at
ACP5,204638_at
ACP6,218795_at
ACPP,204393_s_at
ACPT,241715_x_at
ACR,207427_at
ACRBP,223717_s_at
ACRC,238825_at
ACSBG1,206465_at
ACSBG2,221716_s_at
ACSF2,218844_at
ACSF3,227464_at
ACSL1,201963_at
ACSL3,201661_s_at
ACSL4,202422_s_at
ACSL5,218322_s_at
ACSL6,229725_at
ACSM5,220061_at
ACSS1,224882_at
ACSS2,234312_s_at
ACSS3,229222_at
ACTA1,203872_at
ACTA2,200974_at
ACTB,200801_x_at
ACTC1,205132_at
ACTG2,202274_at
ACTL6A,202666_s_at
ACTL6B,206014_at
ACTL8,214957_at
ACTN1,208636_at
ACTN2,203862_s_at
ACTN4,200601_at
ACTR10,222230_s_at
ACTR1A,200720_s_at
ACTR1B,202135_s_at
ACTR2,200728_at
ACTR3,213101_s_at
ACTR3B,1555487_a_at
ACTR3B,218868_at
ACTR5,219623_at
ACTR6,218395_at
ACTR8,222707_s_at
ACVR1,203935_at
ACVR1B,213198_at
ACVR1C,1563182_at
ACVR2A,228416_at
ACVR2B,236126_at
ACVRL1,226950_at
ACY3,230481_at
ACYP1,205260_s_at
ADA,204639_at
